ProductId,ProductName,CategoryId,Brand,CostPrice,SellingPrice,LaunchDate,IsActive
PROD00064, Brand: New Balance  Cycling Helmet,4,New Balance,23184,28495.3,2026-01-22,1
PROD00065, Brand: Puma  Cycling Helmet,4,Puma,15718,19001.3,2025-11-13,1
PROD00066, Brand: ASICS  Running Shoes,4,ASICS,9255,11319.78,2026-07-13,1
PROD00067, Brand: Under Armour  Football,4,Under Armour,20068,26765.45,2026-03-29,1
PROD00068, Brand: Salomon  Basketball,4,Salomon,39815,62047.83,2023-10-04,1
PROD00069, Brand: Mizuno  Swimming Goggles,4,Mizuno,27898,31164.9,2026-04-22,1
PROD00070, Brand: Decathlon  Yoga Mat,4,Decathlon,26945,39224.05,2026-02-06,1
PROD00071, Brand: Decathlon  Tennis Racket,4,Decathlon,9698,10806.46,2024-03-11,1
PROD00072, Brand: Reebok  Tennis Racket,4,Reebok,2288,3302.34,2025-03-05,1
PROD00073, Brand: New Balance  Running Shoes,4,New Balance,12363,18034.36,2024-07-14,1
PROD00074, Brand: New Balance  Golf Club,4,New Balance,1979,3136.77,2026-02-23,1
PROD00075, Brand: Decathlon  Tennis Racket,4,Decathlon,47559,60254.15,2024-01-31,1
PROD00076, Brand: Mizuno  Yoga Mat,4,Mizuno,38539,54696.96,2023-11-01,1
PROD00077, Brand: Decathlon  Basketball,4,Decathlon,23995,37456.03,2025-08-05,1
PROD00078, Brand: Under Armour  Football,4,Under Armour,30028,44927.7,2024-09-08,1
PROD00079, Brand: Salomon  Fitness Tracker,4,Salomon,38221,50755.38,2025-04-19,1
PROD00080, Brand: Under Armour  Dumbbells,4,Under Armour,45641,58038.5,2024-12-19,1
PROD00081, Brand: L'Oreal  Sunscreen,5,L'Oreal,44413,63934.32,2023-08-19,1
PROD00082, Brand: Revlon  Sunscreen,5,Revlon,32587,46553.68,2026-07-08,1
PROD00083, Brand: L'Oreal  Makeup Brush Set,5,L'Oreal,25274,32476.5,2025-08-21,1
PROD00084, Brand: Garnier  Mascara,5,Garnier,5898,8260.65,2024-03-26,1
PROD00085, Brand: Clinique  Perfume,5,Clinique,45097,68222.19,2025-12-03,1
PROD00086, Brand: Revlon  Makeup Brush Set,5,Revlon,13180,20969.94,2024-03-23,1
PROD00087, Brand: Estée Lauder  Face Cream,5,Estée Lauder,30058,47173.35,2025-07-29,1
PROD00088, Brand: Garnier  Nail Polish,5,Garnier,36023,40746.42,2025-02-23,1
PROD00089, Brand: Dove  Lipstick,5,Dove,45736,62355.54,2026-04-12,1
PROD00090, Brand: Clinique  Nail Polish,5,Clinique,46340,72137.4,2024-02-26,1
PROD00091, Brand: Dove  Lipstick,5,Dove,12904,18356.25,2026-05-17,1
PROD00092, Brand: Garnier  Hair Shampoo,5,Garnier,48180,58126.13,2025-04-22,1
PROD00093, Brand: Maybelline  Face Cream,5,Maybelline,39477,58150.64,2026-03-07,1
PROD00094, Brand: Estée Lauder  Eyeliner,5,Estée Lauder,28487,34846.96,2025-09-13,1
PROD00095, Brand: Nivea  Body Lotion,5,Nivea,27611,32751.26,2026-06-23,1
PROD00096, Brand: Revlon  Lipstick,5,Revlon,26962,41951.97,2024-09-09,1
PROD00097, Brand: Garnier  Makeup Brush Set,5,Garnier,2891,3440.36,2023-09-20,1
PROD00098, Brand: L'Oreal  Body Lotion,5,L'Oreal,11716,16217.9,2025-02-23,1
PROD00099, Brand: Revlon  Perfume,5,Revlon,23368,33921.97,2024-11-29,1
PROD00100, Brand: L'Oreal  Eyeliner,5,L'Oreal,43696,51607.85,2026-03-27,1
PROD00101, Brand: Unilever  Pasta,6,Unilever,46598,62155.13,2025-05-26,1
PROD00102, Brand: Danone  Coffee,6,Danone,24968,32597.64,2026-05-03,1
PROD00103, Brand: Danone  Coffee,6,Danone,27778,43606.78,2023-10-20,1
PROD00104, Brand: General Mills  Cooking Oil,6,General Mills,41106,63805.11,2025-08-10,1
PROD00105, Brand: Kellogg's  Rice,6,Kellogg's,19655,21945.09,2026-04-30,1
PROD00106, Brand: ConAgra  Salt,6,ConAgra,28964,44029.06,2023-11-03,1
PROD00107, Brand: General Mills  Cereal,6,General Mills,33613,38359.47,2025-06-09,1
PROD00108, Brand: Danone  Tea,6,Danone,18640,29707.44,2025-05-18,1
PROD00109, Brand: Campbell's  Pasta,6,Campbell's,41462,49817.69,2025-11-10,1
PROD00110, Brand: General Mills  Spices,6,General Mills,15518,21972.24,2026-01-02,1
PROD00111, Brand: Kellogg's  Spices,6,Kellogg's,25738,29267.06,2023-08-23,1
PROD00112, Brand: General Mills  Salt,6,General Mills,23534,27192.36,2025-02-13,1
PROD00113, Brand: Campbell's  Tea,6,Campbell's,6430,9685.86,2024-06-26,1
PROD00114, Brand: Unilever  Coffee,6,Unilever,3770,5539.07,2024-10-20,1
PROD00115, Brand: Unilever  Sugar,6,Unilever,31962,44200.67,2026-03-31,1
PROD00116, Brand: Unilever  Tea,6,Unilever,5744,7794.07,2025-02-22,1
PROD00117, Brand: Mars  Coffee,6,Mars,33096,50168.17,2026-06-05,1
PROD00118, Brand: Unilever  Sugar,6,Unilever,42754,55191.99,2024-04-27,1
PROD00119, Brand: Unilever  Spices,6,Unilever,48046,58150.55,2024-10-03,1
PROD00120, Brand: Campbell's  Cereal,6,Campbell's,30562,44545.59,2026-06-29,1
PROD00121, Brand: Hachette Book Group  Romance,7,Hachette Book Group,21626,25932.32,2024-03-21,1
PROD00122, Brand: Wiley  Biography,7,Wiley,42347,47299.12,2024-06-08,1
PROD00123, Brand: Wiley  Self-help,7,Wiley,6623,7636.36,2024-02-25,1
PROD00124, Brand: Macmillan Publishers  Biography,7,Macmillan Publishers,11166,14207.88,2026-02-18,1
PROD00125, Brand: Simon & Schuster  History,7,Simon & Schuster,10964,14263.34,2025-05-08,1
PROD00126, Brand: Simon & Schuster  History,7,Simon & Schuster,49344,54897.85,2024-09-30,1
PROD00127, Brand: Simon & Schuster  Children's Books,7,Simon & Schuster,19022,26831.88,2023-09-06,1
PROD00128, Brand: Penguin Random House  Science Fiction,7,Penguin Random House,33053,44578.18,2024-03-31,1
PROD00129, Brand: Wiley  Self-help,7,Wiley,11834,14021.96,2023-10-07,1
PROD00130, Brand: Wiley  Fantasy,7,Wiley,42603,49769.13,2025-06-23,1
PROD00131, Brand: Macmillan Publishers  Science Fiction,7,Macmillan Publishers,23222,36407.58,2024-03-10,1
PROD00132, Brand: Oxford University Press  Mystery,7,Oxford University Press,42684,49308.86,2025-06-20,1
PROD00133, Brand: Oxford University Press  Science Fiction,7,Oxford University Press,31430,46978.69,2026-07-09,1
PROD00134, Brand: Cambridge University Press  Mystery,7,Cambridge University Press,21786,29087.96,2024-07-24,1
PROD00135, Brand: Macmillan Publishers  Biography,7,Macmillan Publishers,18729,24461.35,2024-09-15,1
PROD00136, Brand: Cambridge University Press  Fantasy,7,Cambridge University Press,14063,19975.49,2025-03-31,1
PROD00137, Brand: Oxford University Press  Science Fiction,7,Oxford University Press,8289,10571.21,2026-07-18,1
PROD00138, Brand: Oxford University Press  Children's Books,7,Oxford University Press,17198,24961.26,2023-11-18,1
PROD00139, Brand: Penguin Random House  Biography,7,Penguin Random House,36005,56991.52,2024-05-01,1
PROD00140, Brand: Hachette Book Group  Fantasy,7,Hachette Book Group,3602,5677.54,2026-06-21,1
PROD00141, Brand: Melissa & Doug  Educational Toys,8,Melissa & Doug,22221,31480.11,2026-02-24,1
PROD00142, Brand: Fisher-Price  Puzzles,8,Fisher-Price,37518,58765.89,2025-04-03,1
PROD00143, Brand: Spin Master  Stuffed Animals,8,Spin Master,38329,46357.83,2023-12-16,1
PROD00144, Brand: VTech  Arts and Crafts Kits,8,VTech,33567,53682.24,2026-05-12,1
PROD00145, Brand: Bandai  Building Blocks,8,Bandai,21441,24617.49,2026-06-11,1
PROD00146, Brand: Hasbro  Arts and Crafts Kits,8,Hasbro,48417,60047.35,2024-10-09,1
PROD00147, Brand: Melissa & Doug  Educational Toys,8,Melissa & Doug,32483,46860.11,2025-01-17,1
PROD00148, Brand: Fisher-Price  Puzzles,8,Fisher-Price,17841,25811.02,2024-07-07,1
PROD00149, Brand: Fisher-Price  Board Games,8,Fisher-Price,43670,61893.49,2025-07-06,1
PROD00150, Brand: Melissa & Doug  Dolls,8,Melissa & Doug,10233,16060.81,2026-01-10,1
PROD00151, Brand: Spin Master  Dolls,8,Spin Master,4802,6036.36,2024-02-24,1
PROD00152, Brand: Mattel  Remote Control Cars,8,Mattel,37979,52615.58,2026-02-22,1
PROD00153, Brand: Melissa & Doug  Building Blocks,8,Melissa & Doug,41852,64488.37,2026-06-11,1
PROD00154, Brand: Melissa & Doug  Remote Control Cars,8,Melissa & Doug,8925,12454.66,2024-03-02,1
PROD00155, Brand: Melissa & Doug  Remote Control Cars,8,Melissa & Doug,29888,39615.56,2024-04-04,1
PROD00156, Brand: Playmobil  Stuffed Animals,8,Playmobil,31452,35881.86,2023-09-22,1
PROD00157, Brand: Mattel  Action Figures,8,Mattel,39600,48596.95,2026-02-03,1
PROD00158, Brand: Mattel  Puzzles,8,Mattel,118,139.59,2025-03-03,1
PROD00159, Brand: Spin Master  Educational Toys,8,Spin Master,47791,75043.62,2026-02-23,1
PROD00160, Brand: Mattel  Stuffed Animals,8,Mattel,35849,54518.69,2023-10-21,1
PROD00161, Brand: Steelcase  Sofa,9,Steelcase,32936,40511.29,2024-09-21,1
PROD00162, Brand: Herman Miller  Sofa,9,Herman Miller,30199,46692.69,2023-12-02,1
PROD00163, Brand: Steelcase  Wardrobe,9,Steelcase,8329,10396.37,2026-01-06,1
PROD00164, Brand: IKEA  Sofa,9,IKEA,10783,12315.49,2025-08-15,1
PROD00165, Brand: Steelcase  Coffee Table,9,Steelcase,32116,44395.23,2025-01-17,1
PROD00166, Brand: Wayfair  Wardrobe,9,Wayfair,40400,58798.05,2025-11-17,1
PROD00167, Brand: Wayfair  Dining Table,9,Wayfair,18706,23488.74,2024-08-14,1
PROD00168, Brand: Steelcase  Bookshelf,9,Steelcase,28103,38776.69,2024-02-11,1
PROD00169, Brand: IKEA  Wardrobe,9,IKEA,36887,41594.56,2026-04-08,1
PROD00170, Brand: Herman Miller  TV Stand,9,Herman Miller,24254,28801.72,2024-12-15,1
PROD00171, Brand: Crate & Barrel  Chair,9,Crate & Barrel,27219,30216.01,2026-07-11,1
PROD00172, Brand: La-Z-Boy  TV Stand,9,La-Z-Boy,15540,23084.3,2023-10-12,1
PROD00173, Brand: Ashley Furniture  Sofa,9,Ashley Furniture,12054,19211.45,2025-12-05,1
PROD00174, Brand: Crate & Barrel  Desk,9,Crate & Barrel,41247,63379.92,2024-04-06,1
PROD00175, Brand: La-Z-Boy  Bookshelf,9,La-Z-Boy,8323,12585.92,2026-01-05,1
PROD00176, Brand: Crate & Barrel  Sofa,9,Crate & Barrel,24440,34884.6,2025-11-05,1
PROD00177, Brand: Pottery Barn  Sofa,9,Pottery Barn,8112,10690.91,2024-11-06,1
PROD00178, Brand: Wayfair  Coffee Table,9,Wayfair,35780,53187.3,2023-11-19,1
PROD00179, Brand: Herman Miller  TV Stand,9,Herman Miller,11180,14932.3,2025-09-30,1
PROD00180, Brand: Crate & Barrel  Sofa,9,Crate & Barrel,39332,59993.67,2025-12-22,1
PROD00181, Brand: ZF Friedrichshafen  Car Battery,10,ZF Friedrichshafen,28026,39337.91,2025-06-12,1
PROD00182, Brand: Bosch  Headlight Bulb,10,Bosch,12433,18150.73,2026-02-08,1
PROD00183, Brand: ZF Friedrichshafen  Car Cover,10,ZF Friedrichshafen,31369,41253.22,2026-04-06,1
PROD00184, Brand: Delphi Technologies  Headlight Bulb,10,Delphi Technologies,11167,16518.38,2023-11-11,1
PROD00185, Brand: Aisin Seiki  Headlight Bulb,10,Aisin Seiki,27297,36452.22,2025-01-17,1
PROD00186, Brand: Bosch  Tire,10,Bosch,46697,66948.8,2025-09-10,1
PROD00187, Brand: ZF Friedrichshafen  Windshield Wiper,10,ZF Friedrichshafen,49659,71567.22,2026-06-04,1
PROD00188, Brand: ZF Friedrichshafen  Car Air Freshener,10,ZF Friedrichshafen,23119,30441.73,2026-03-03,1
PROD00189, Brand: Bosch  Oil Filter,10,Bosch,8839,14136.4,2024-01-11,1
PROD00190, Brand: Mahle  Windshield Wiper,10,Mahle,48823,65384.04,2025-08-23,1
PROD00191, Brand: Aisin Seiki  Car Cover,10,Aisin Seiki,3542,4735.52,2026-02-07,1
PROD00192, Brand: Denso  Oil Filter,10,Denso,34325,38798.09,2026-01-26,1
PROD00193, Brand: ZF Friedrichshafen  Car Cover,10,ZF Friedrichshafen,27676,35118.28,2026-03-19,1
PROD00194, Brand: Aisin Seiki  Brake Pads,10,Aisin Seiki,9926,14380.69,2025-05-15,1
PROD00195, Brand: Denso  Oil Filter,10,Denso,38882,51477.57,2024-06-28,1
PROD00196, Brand: Denso  Car Cover,10,Denso,8325,11036.87,2023-11-12,1
PROD00197, Brand: Continental  Tire,10,Continental,31574,45799.66,2026-05-16,1
PROD00198, Brand: Denso  Car Air Freshener,10,Denso,19982,23572.39,2023-12-15,1
PROD00199, Brand: Mahle  Headlight Bulb,10,Mahle,26237,40036.94,2026-06-27,1
PROD00200, Brand: Aisin Seiki  Headlight Bulb,10,Aisin Seiki,2346,2618.71,2024-11-12,1
PROD00201, Brand: Hill's Science Diet  Cat Food,11,Hill's Science Diet,459,577.91,2024-09-16,1
PROD00202, Brand: Royal Canin  Pet Carrier,11,Royal Canin,21628,28382.72,2024-03-06,1
PROD00203, Brand: Blue Buffalo  Pet Carrier,11,Blue Buffalo,3090,4522.79,2023-09-17,1
PROD00204, Brand: Eukanuba  Cat Food,11,Eukanuba,45745,53088.65,2026-07-11,1
PROD00205, Brand: Wellness  Cat Food,11,Wellness,27566,39665.19,2024-10-14,1
PROD00206, Brand: Blue Buffalo  Veterinary Care,11,Blue Buffalo,42592,49969.43,2023-10-06,1
PROD00207, Brand: Royal Canin  Dog Food,11,Royal Canin,30411,42116.49,2023-08-24,1
PROD00208, Brand: Purina  Cat Food,11,Purina,4479,5336.36,2024-09-22,1
PROD00209, Brand: Wellness  Bird Cage,11,Wellness,17939,28251.1,2024-12-19,1
PROD00210, Brand: Iams  Bird Cage,11,Iams,12480,17128.66,2024-08-07,1
PROD00211, Brand: Eukanuba  Cat Litter,11,Eukanuba,18198,22468.28,2025-12-10,1
PROD00212, Brand: Wellness  Bird Cage,11,Wellness,16250,22672.09,2024-12-09,1
PROD00213, Brand: Hill's Science Diet  Dog Food,11,Hill's Science Diet,46831,73551.36,2025-06-04,1
PROD00214, Brand: Blue Buffalo  Pet Bed,11,Blue Buffalo,26370,29021.32,2025-04-02,1
PROD00215, Brand: Nutro  Veterinary Care,11,Nutro,12756,15509.25,2025-07-24,1
PROD00216, Brand: Hill's Science Diet  Pet Bed,11,Hill's Science Diet,40391,56494.39,2025-10-12,1
PROD00217, Brand: Purina  Pet Carrier,11,Purina,45710,71471.73,2025-08-04,1
PROD00218, Brand: Nutro  Animal Collar,11,Nutro,39252,48905.05,2024-07-18,1
PROD00219, Brand: Blue Buffalo  Bird Cage,11,Blue Buffalo,33634,45774.64,2024-01-23,1
PROD00220, Brand: Iams  Animal Collar,11,Iams,14528,17613.39,2025-03-04,1
